matriz_id,especie,raca,idade,paridade,ecc,historico_sucesso
CA-M-00103,caprino,Boer,2.9,5,3.6,0.74
CA-M-00104,caprino,Alpina,8.1,3,3.6,0.28
CA-M-00105,caprino,Boer,9.4,1,3.3,0.36
CA-M-00106,caprino,Caninde,3.4,4,3.0,0.75
CA-M-00107,caprino,Boer,1.1,4,3.0,0.66
CA-M-00108,caprino,Boer,6.5,3,2.7,0.57
CA-M-00109,caprino,Boer,7.6,5,3.3,0.21
CA-M-00110,caprino,Boer,3.3,5,2.9,0.43
CA-M-00111,caprino,Caninde,9.7,1,3.0,0.51
CA-M-00112,caprino,Anglo Nubiana,2.5,0,3.5,0.52
CA-M-00113,caprino,Alpina,8.2,4,4.0,0.78
CA-M-00114,caprino,Boer,8.9,5,3.4,0.95
CA-M-00115,caprino,Anglo Nubiana,2.5,1,3.1,0.67
CA-M-00116,caprino,Moxoto,5.5,3,3.2,0.44
CA-M-00117,caprino,Pardo Alpina,1.3,3,3.8,0.79
CA-M-00118,caprino,Moxoto,6.8,2,3.4,0.43
CA-M-00119,caprino,Boer,5.9,3,3.3,0.03
CA-M-00120,caprino,Pardo Alpina,8.0,3,3.3,0.3
CA-M-00121,caprino,Alpina,5.5,5,2.5,0.08
CA-M-00122,caprino,Saanen,4.2,2,3.4,0.47
CA-M-00123,caprino,Anglo Nubiana,2.2,0,2.8,0.51
CA-M-00124,caprino,Anglo Nubiana,1.5,2,3.4,0.23
CA-M-00125,caprino,Anglo Nubiana,5.8,0,2.8,0.38
CA-M-00126,caprino,Alpina,9.3,0,3.5,0.26
CA-M-00127,caprino,Pardo Alpina,7.9,3,3.1,0.52
CA-M-00128,caprino,Saanen,4.5,5,2.6,0.38
CA-M-00129,caprino,Anglo Nubiana,9.9,0,3.1,0.75
CA-M-00130,caprino,Pardo Alpina,2.7,2,4.3,0.58
CA-M-00131,caprino,Anglo Nubiana,10.0,1,2.1,0.87
CA-M-00132,caprino,Caninde,3.1,2,3.3,0.46
CA-M-00133,caprino,Boer,2.5,3,2.7,0.98
CA-M-00134,caprino,Alpina,8.7,5,3.9,0.55
CA-M-00135,caprino,Anglo Nubiana,5.2,5,3.6,0.44
CA-M-00136,caprino,Boer,9.0,5,3.3,1.0
CA-M-00137,caprino,Boer,7.7,2,3.7,0.18
CA-M-00138,caprino,Boer,2.4,4,3.3,0.44
CA-M-00139,caprino,Anglo Nubiana,2.1,1,3.2,0.22
CA-M-00140,caprino,Saanen,5.0,0,2.9,0.18
CA-M-00141,caprino,Anglo Nubiana,6.1,5,3.0,0.14
CA-M-00142,caprino,Caninde,4.8,5,3.0,0.67
CA-M-00143,caprino,Boer,2.9,1,3.2,0.28
CA-M-00144,caprino,Boer,3.0,1,2.3,0.5
CA-M-00145,caprino,Saanen,5.6,5,3.7,0.73
CA-M-00146,caprino,Pardo Alpina,1.1,2,4.2,0.64
CA-M-00147,caprino,Anglo Nubiana,5.0,4,3.0,0.63
CA-M-00148,caprino,Alpina,1.3,5,3.8,0.79
CA-M-00149,caprino,Caninde,8.9,3,3.1,0.87
CA-M-00150,caprino,Boer,6.6,0,2.9,0.3
CA-M-00151,caprino,Anglo Nubiana,2.4,3,3.0,0.65
CA-M-00152,caprino,Anglo Nubiana,7.9,0,3.2,0.5
CA-M-00153,caprino,Moxoto,5.4,4,2.8,0.52
CA-M-00154,caprino,Anglo Nubiana,5.6,3,3.5,0.25
CA-M-00155,caprino,Anglo Nubiana,3.3,2,2.9,0.44
CA-M-00156,caprino,Moxoto,4.5,2,2.7,0.47
CA-M-00157,caprino,Caninde,8.9,5,3.2,0.84
CA-M-00158,caprino,Boer,2.3,2,2.9,0.32
CA-M-00159,caprino,Anglo Nubiana,6.6,5,3.0,0.07
CA-M-00160,caprino,Saanen,3.0,4,3.2,0.55
CA-M-00161,caprino,Pardo Alpina,5.0,5,2.5,0.3
CA-M-00162,caprino,Anglo Nubiana,5.8,5,3.9,0.52
CA-M-00163,caprino,Anglo Nubiana,2.1,3,3.6,0.68
CA-M-00164,caprino,Caninde,1.7,5,2.9,0.53
CA-M-00165,caprino,Pardo Alpina,5.4,4,3.2,0.46
CA-M-00166,caprino,Boer,4.7,0,3.5,0.52
CA-M-00167,caprino,Caninde,9.3,0,3.3,0.72
CA-M-00168,caprino,Saanen,7.3,4,4.1,0.32
CA-M-00169,caprino,Moxoto,9.1,3,3.1,0.7
CA-M-00170,caprino,Anglo Nubiana,9.4,5,3.8,0.35
CA-M-00171,caprino,Boer,1.2,3,2.5,0.67
CA-M-00172,caprino,Alpina,8.9,1,2.6,0.24
CA-M-00173,caprino,Boer,9.6,5,4.0,0.66
CA-M-00174,caprino,Boer,5.1,2,3.0,0.53
CA-M-00175,caprino,Alpina,6.7,5,2.6,0.57
CA-M-00176,caprino,Saanen,4.1,0,3.2,0.74
CA-M-00177,caprino,Anglo Nubiana,1.9,0,3.8,0.39
CA-M-00178,caprino,Boer,3.4,0,2.8,0.54
CA-M-00179,caprino,Alpina,1.7,5,3.2,0.61
CA-M-00180,caprino,Saanen,5.4,0,2.3,0.49
CA-M-00181,caprino,Boer,6.9,4,3.0,0.69
CA-M-00182,caprino,Anglo Nubiana,1.0,4,3.7,0.62
CA-M-00183,caprino,Anglo Nubiana,3.1,5,2.8,0.43
CA-M-00184,caprino,Pardo Alpina,1.7,3,2.6,0.8
CA-M-00185,caprino,Pardo Alpina,9.7,0,2.8,0.66
CA-M-00186,caprino,Saanen,8.2,0,2.9,0.38
CA-M-00187,caprino,Saanen,1.3,0,3.6,0.38
CA-M-00188,caprino,Anglo Nubiana,8.3,3,3.4,0.51
CA-M-00189,caprino,Boer,8.4,2,3.5,0.64
CA-M-00190,caprino,Boer,8.2,0,3.2,0.11
CA-M-00191,caprino,Boer,8.9,0,2.9,0.39
CA-M-00192,caprino,Anglo Nubiana,5.2,1,2.8,0.43
CA-M-00193,caprino,Anglo Nubiana,3.2,2,3.4,0.26
CA-M-00194,caprino,Moxoto,8.8,5,4.0,0.35
CA-M-00195,caprino,Saanen,8.5,4,2.7,0.58
CA-M-00196,caprino,Caninde,3.5,2,2.7,0.45
CA-M-00197,caprino,Alpina,6.2,1,2.6,0.47
CA-M-00198,caprino,Pardo Alpina,6.0,4,3.6,0.27
CA-M-00199,caprino,Anglo Nubiana,5.4,5,3.2,0.51
CA-M-00200,caprino,Anglo Nubiana,6.5,1,3.5,0.25
CA-M-00201,caprino,Saanen,1.8,2,2.9,0.84
CA-M-00202,caprino,Saanen,5.1,0,3.5,0.9
CA-M-00203,caprino,Anglo Nubiana,3.5,0,3.1,0.46
CA-M-00204,caprino,Saanen,1.0,5,2.4,0.33
CA-M-00205,caprino,Anglo Nubiana,5.7,1,3.7,0.72
CA-M-00206,caprino,Anglo Nubiana,4.3,0,3.2,0.67
CA-M-00207,caprino,Moxoto,4.9,1,3.0,0.92
CA-M-00208,caprino,Saanen,2.0,2,3.3,0.98
CA-M-00209,caprino,Boer,5.6,1,2.5,0.14
CA-M-00210,caprino,Anglo Nubiana,3.4,4,3.4,0.78
CA-M-00211,caprino,Caninde,1.0,3,2.9,0.51
CA-M-00212,caprino,Moxoto,8.0,3,3.1,0.66
CA-M-00213,caprino,Anglo Nubiana,6.7,5,3.8,0.71
CA-M-00214,caprino,Boer,5.8,5,3.5,0.7
CA-M-00215,caprino,Saanen,6.6,1,3.1,0.75
CA-M-00216,caprino,Anglo Nubiana,3.9,5,3.1,0.44
CA-M-00217,caprino,Saanen,2.1,4,1.9,0.36
CA-M-00218,caprino,Anglo Nubiana,4.2,0,2.8,0.79
CA-M-00219,caprino,Anglo Nubiana,8.1,1,3.3,0.38
CA-M-00220,caprino,Saanen,6.5,1,2.8,0.92
CA-M-00221,caprino,Boer,8.1,4,2.5,0.4
CA-M-00222,caprino,Saanen,9.1,3,3.4,0.47
CA-M-00223,caprino,Anglo Nubiana,3.2,4,3.9,0.51
CA-M-00224,caprino,Boer,9.2,0,2.8,0.24
CA-M-00225,caprino,Moxoto,7.0,3,3.6,0.24
CA-M-00226,caprino,Boer,6.0,3,3.6,0.73
CA-M-00227,caprino,Saanen,5.5,4,2.7,0.21
CA-M-00228,caprino,Boer,5.2,2,2.8,1.0
CA-M-00229,caprino,Caninde,1.7,0,4.1,0.53
CA-M-00230,caprino,Alpina,1.5,5,2.6,0.34
CA-M-00231,caprino,Anglo Nubiana,4.0,2,2.9,0.63
CA-M-00232,caprino,Anglo Nubiana,2.8,5,4.2,0.06
CA-M-00233,caprino,Saanen,1.8,2,2.9,0.48
CA-M-00234,caprino,Pardo Alpina,1.2,1,3.9,0.51
CA-M-00235,caprino,Anglo Nubiana,9.8,2,2.7,0.3
CA-M-00236,caprino,Saanen,2.9,0,3.3,0.42
CA-M-00237,caprino,Saanen,9.9,3,3.7,0.86
CA-M-00238,caprino,Boer,5.9,5,3.0,0.59
CA-M-00239,caprino,Alpina,2.7,1,3.2,0.63
CA-M-00240,caprino,Boer,2.3,0,3.6,0.39
CA-M-00241,caprino,Saanen,2.8,0,2.7,0.29
CA-M-00242,caprino,Pardo Alpina,4.3,1,4.3,0.5
CA-M-00243,caprino,Moxoto,2.8,2,3.7,0.06
CA-M-00244,caprino,Saanen,8.5,1,3.0,0.33
CA-M-00245,caprino,Boer,4.3,4,3.1,0.3
CA-M-00246,caprino,Alpina,5.7,2,4.2,0.14
CA-M-00247,caprino,Pardo Alpina,5.5,2,3.0,0.68
CA-M-00248,caprino,Boer,6.9,0,3.0,0.52
CA-M-00249,caprino,Boer,10.0,3,3.8,0.43
CA-M-00250,caprino,Anglo Nubiana,5.0,1,2.5,0.68
CA-M-00251,caprino,Alpina,3.9,4,3.2,0.22
CA-M-00252,caprino,Boer,9.8,0,3.2,0.28
CA-M-00253,caprino,Anglo Nubiana,10.0,3,2.8,0.77
CA-M-00254,caprino,Saanen,8.0,4,2.4,1.0
CA-M-00255,caprino,Moxoto,8.2,4,3.2,0.69
CA-M-00256,caprino,Anglo Nubiana,4.7,1,3.5,0.64
CA-M-00257,caprino,Saanen,5.9,4,2.9,0.43
CA-M-00258,caprino,Moxoto,4.2,4,2.6,0.44
CA-M-00259,caprino,Moxoto,6.6,3,3.8,0.6
CA-M-00260,caprino,Boer,8.4,3,3.5,0.82
CA-M-00261,caprino,Anglo Nubiana,4.4,4,3.0,0.64
CA-M-00262,caprino,Boer,5.8,2,3.7,0.74
CA-M-00263,caprino,Boer,8.0,0,3.3,0.37
CA-M-00264,caprino,Boer,2.9,5,4.1,0.67
CA-M-00265,caprino,Saanen,6.5,1,3.5,0.42
CA-M-00266,caprino,Pardo Alpina,8.0,2,2.5,0.58
CA-M-00267,caprino,Saanen,1.5,3,2.9,0.67
CA-M-00268,caprino,Caninde,3.3,1,2.9,0.44
CA-M-00269,caprino,Alpina,1.2,2,3.4,0.35
CA-M-00270,caprino,Saanen,1.1,3,3.0,0.62
CA-M-00271,caprino,Anglo Nubiana,5.3,4,2.6,0.52
CA-M-00272,caprino,Pardo Alpina,7.3,0,3.5,0.58
CA-M-00273,caprino,Alpina,4.4,4,3.7,0.68
CA-M-00274,caprino,Boer,6.6,1,3.1,0.81
CA-M-00275,caprino,Anglo Nubiana,2.7,5,3.3,0.68
CA-M-00276,caprino,Alpina,8.5,5,2.7,0.66
CA-M-00277,caprino,Anglo Nubiana,4.3,4,2.9,0.45
CA-M-00278,caprino,Pardo Alpina,7.4,5,3.0,0.48
CA-M-00279,caprino,Anglo Nubiana,2.2,0,3.5,0.64
CA-M-00280,caprino,Saanen,8.4,2,3.3,0.48
CA-M-00281,caprino,Boer,5.7,0,3.0,0.64
CA-M-00282,caprino,Boer,9.7,2,3.0,0.39
CA-M-00283,caprino,Pardo Alpina,4.6,3,2.2,0.94
CA-M-00284,caprino,Anglo Nubiana,8.9,3,4.0,0.59
CA-M-00285,caprino,Anglo Nubiana,4.7,0,2.2,0.58
CA-M-00286,caprino,Anglo Nubiana,2.0,0,3.4,0.45
CA-M-00287,caprino,Anglo Nubiana,7.2,5,3.2,0.93
CA-M-00288,caprino,Boer,2.6,1,3.1,0.3
CA-M-00289,caprino,Anglo Nubiana,8.2,2,3.2,0.41
CA-M-00290,caprino,Boer,4.0,3,2.9,0.72
CA-M-00291,caprino,Alpina,7.8,0,3.5,0.6
CA-M-00292,caprino,Caninde,5.3,1,2.5,0.43
CA-M-00293,caprino,Anglo Nubiana,5.8,3,3.4,0.44
CA-M-00294,caprino,Caninde,7.6,1,2.9,0.49
CA-M-00295,caprino,Moxoto,7.0,4,3.0,0.57
CA-M-00296,caprino,Saanen,7.0,3,3.0,0.86
CA-M-00297,caprino,Alpina,6.9,5,3.1,0.67
CA-M-00298,caprino,Boer,6.3,3,3.5,0.75
CA-M-00299,caprino,Anglo Nubiana,8.3,4,3.2,0.46
CA-M-00300,caprino,Moxoto,3.7,1,3.7,0.65
CA-M-00301,caprino,Moxoto,2.6,4,3.7,0.24
CA-M-00302,caprino,Boer,7.6,5,3.4,0.59
CA-M-00303,caprino,Anglo Nubiana,5.9,4,3.5,0.57
CA-M-00304,caprino,Anglo Nubiana,9.1,4,4.2,0.91
CA-M-00305,caprino,Boer,9.7,2,2.5,0.86
CA-M-00306,caprino,Caninde,8.8,3,3.7,0.5
CA-M-00307,caprino,Anglo Nubiana,5.9,3,4.0,0.39
CA-M-00308,caprino,Saanen,7.8,1,3.4,0.39
CA-M-00309,caprino,Pardo Alpina,4.0,1,4.2,0.49
CA-M-00310,caprino,Boer,1.1,3,4.1,0.81
CA-M-00311,caprino,Saanen,8.0,3,3.0,0.63
CA-M-00312,caprino,Boer,8.0,4,3.1,0.65
CA-M-00313,caprino,Anglo Nubiana,1.1,3,3.5,0.71
CA-M-00314,caprino,Saanen,8.8,3,2.9,0.35
CA-M-00315,caprino,Anglo Nubiana,8.9,3,4.6,0.41
CA-M-00316,caprino,Alpina,3.9,3,3.6,0.65
CA-M-00317,caprino,Boer,1.2,2,3.2,0.39
CA-M-00318,caprino,Pardo Alpina,8.9,0,2.5,0.24
CA-M-00319,caprino,Saanen,1.6,4,3.3,0.33
CA-M-00320,caprino,Moxoto,3.1,2,2.6,0.76
CA-M-00321,caprino,Alpina,5.9,4,3.6,0.48
CA-M-00322,caprino,Alpina,8.3,5,1.9,0.6
CA-M-00323,caprino,Boer,8.0,2,3.9,0.34
CA-M-00324,caprino,Boer,7.1,0,3.0,0.63
CA-M-00325,caprino,Alpina,8.5,0,2.4,0.5
CA-M-00326,caprino,Alpina,7.2,3,3.2,0.64
CA-M-00327,caprino,Alpina,6.7,5,3.2,0.45
CA-M-00328,caprino,Anglo Nubiana,2.5,5,3.2,0.65
CA-M-00329,caprino,Anglo Nubiana,5.0,5,3.9,0.44
CA-M-00330,caprino,Anglo Nubiana,5.1,0,3.4,0.53
CA-M-00331,caprino,Anglo Nubiana,1.2,0,3.6,0.5
CA-M-00332,caprino,Pardo Alpina,4.6,5,3.1,0.56
CA-M-00333,caprino,Saanen,3.0,4,3.4,0.61
CA-M-00334,caprino,Saanen,1.8,5,2.5,0.45
CA-M-00335,caprino,Anglo Nubiana,5.9,5,3.3,0.53
CA-M-00336,caprino,Pardo Alpina,3.1,4,2.8,0.59
CA-M-00337,caprino,Anglo Nubiana,2.7,2,3.9,0.65
CA-M-00338,caprino,Anglo Nubiana,8.1,4,3.2,0.53
CA-M-00339,caprino,Pardo Alpina,8.3,3,3.5,0.37
CA-M-00340,caprino,Alpina,6.9,5,3.3,0.57
CA-M-00341,caprino,Anglo Nubiana,2.7,5,4.1,0.68
CA-M-00342,caprino,Anglo Nubiana,6.7,1,2.4,0.28
CA-M-00343,caprino,Boer,7.4,5,3.1,0.29
CA-M-00344,caprino,Saanen,3.1,4,2.7,0.42
CA-M-00345,caprino,Anglo Nubiana,2.2,4,2.2,0.51
CA-M-00346,caprino,Saanen,4.9,2,2.7,0.11
CA-M-00347,caprino,Boer,4.8,2,3.8,0.66
CA-M-00348,caprino,Saanen,2.4,5,3.2,0.51
CA-M-00349,caprino,Alpina,2.7,0,3.1,0.08
CA-M-00350,caprino,Pardo Alpina,5.5,3,3.6,0.33
CA-M-00351,caprino,Anglo Nubiana,5.7,5,3.3,0.49
CA-M-00352,caprino,Anglo Nubiana,5.8,4,3.5,0.2
CA-M-00353,caprino,Anglo Nubiana,9.8,0,3.4,0.74
CA-M-00354,caprino,Anglo Nubiana,1.4,1,3.5,0.59
CA-M-00355,caprino,Boer,8.1,3,3.0,0.69
CA-M-00356,caprino,Anglo Nubiana,4.2,1,3.7,0.34
CA-M-00357,caprino,Pardo Alpina,7.8,5,2.6,0.63
CA-M-00358,caprino,Pardo Alpina,7.6,5,3.2,0.42
CA-M-00359,caprino,Alpina,6.6,5,3.7,0.51
CA-M-00360,caprino,Boer,6.7,2,3.1,0.62
CA-M-00361,caprino,Alpina,7.0,1,3.0,0.54
CA-M-00362,caprino,Saanen,7.7,3,4.3,0.71
CA-M-00363,caprino,Alpina,2.2,0,3.9,0.58
CA-M-00364,caprino,Anglo Nubiana,4.2,4,3.3,0.46
CA-M-00365,caprino,Caninde,8.6,5,2.7,0.72
CA-M-00366,caprino,Boer,5.9,1,2.2,0.76
CA-M-00367,caprino,Anglo Nubiana,2.2,1,3.6,0.57
CA-M-00368,caprino,Boer,9.7,1,3.8,0.82
CA-M-00369,caprino,Anglo Nubiana,9.9,4,3.4,0.5
CA-M-00370,caprino,Moxoto,5.6,1,2.3,0.52
CA-M-00371,caprino,Saanen,5.8,4,3.3,0.55
CA-M-00372,caprino,Caninde,3.6,5,3.0,0.52
CA-M-00373,caprino,Moxoto,5.6,2,3.3,0.49
CA-M-00374,caprino,Saanen,9.7,0,4.2,0.41
CA-M-00375,caprino,Pardo Alpina,3.3,5,3.6,0.35
CA-M-00376,caprino,Caninde,3.7,2,3.5,0.57
CA-M-00377,caprino,Anglo Nubiana,9.1,3,3.2,0.79
CA-M-00378,caprino,Anglo Nubiana,4.5,5,3.4,0.71
CA-M-00379,caprino,Boer,9.8,5,2.8,0.63
CA-M-00380,caprino,Saanen,4.1,5,3.5,0.8
CA-M-00381,caprino,Pardo Alpina,1.0,2,3.1,0.55
CA-M-00382,caprino,Boer,9.6,4,2.8,0.35
CA-M-00383,caprino,Pardo Alpina,3.1,2,3.6,0.48
CA-M-00384,caprino,Alpina,7.2,3,2.1,0.54
CA-M-00385,caprino,Boer,1.4,2,2.9,0.45
CA-M-00386,caprino,Alpina,7.7,5,3.5,0.67
CA-M-00387,caprino,Caninde,3.0,4,3.8,0.74
CA-M-00388,caprino,Boer,8.2,5,3.4,0.2
CA-M-00389,caprino,Boer,9.7,1,2.9,0.52
CA-M-00390,caprino,Alpina,1.4,5,3.2,0.0
CA-M-00391,caprino,Boer,4.3,1,3.3,0.53
CA-M-00392,caprino,Anglo Nubiana,7.4,3,4.0,0.53
CA-M-00393,caprino,Caninde,10.0,1,3.7,0.91
CA-M-00394,caprino,Anglo Nubiana,4.3,4,3.7,0.85
CA-M-00395,caprino,Anglo Nubiana,10.0,4,3.2,0.74
CA-M-00396,caprino,Caninde,9.1,4,2.7,0.36
CA-M-00397,caprino,Saanen,7.5,1,2.5,0.35
CA-M-00398,caprino,Boer,4.4,4,3.0,0.33
CA-M-00399,caprino,Boer,5.8,0,3.5,0.86
CA-M-00400,caprino,Anglo Nubiana,7.5,4,2.9,0.37
CA-M-00401,caprino,Anglo Nubiana,7.2,2,3.5,0.47
CA-M-00402,caprino,Caninde,3.6,1,2.8,0.37
CA-M-00403,caprino,Anglo Nubiana,6.0,5,2.9,0.3
CA-M-00404,caprino,Anglo Nubiana,8.5,4,3.9,0.62
CA-M-00405,caprino,Pardo Alpina,5.3,0,3.6,0.58
CA-M-00406,caprino,Caninde,6.1,2,3.0,0.11
CA-M-00407,caprino,Alpina,3.9,4,2.8,0.29
CA-M-00408,caprino,Anglo Nubiana,2.4,1,3.7,0.6
CA-M-00409,caprino,Anglo Nubiana,1.6,2,3.6,0.54
CA-M-00410,caprino,Moxoto,4.7,0,3.5,0.47
CA-M-00411,caprino,Alpina,6.7,0,3.1,0.67
CA-M-00412,caprino,Pardo Alpina,7.8,1,2.7,0.26
CA-M-00413,caprino,Boer,1.8,4,3.2,0.43
CA-M-00414,caprino,Pardo Alpina,3.9,3,3.9,0.65
CA-M-00415,caprino,Moxoto,8.3,1,2.7,0.42
CA-M-00416,caprino,Boer,2.0,1,3.2,0.61
CA-M-00417,caprino,Boer,9.9,4,4.0,0.32
CA-M-00418,caprino,Anglo Nubiana,6.7,3,3.0,0.39
CA-M-00419,caprino,Alpina,9.5,5,3.1,0.19
CA-M-00420,caprino,Anglo Nubiana,7.6,5,2.5,0.14
CA-M-00421,caprino,Anglo Nubiana,9.7,3,3.5,0.45
CA-M-00422,caprino,Saanen,7.0,0,2.8,0.64
CA-M-00423,caprino,Alpina,3.4,5,2.4,0.53
CA-M-00424,caprino,Boer,8.2,0,2.7,0.78
